Key	default	en	de	ja	pl	es	fr	zh-Hans	it	ko	pt	ru	uk	ca	zh	cs	da	nl	et	fi	el	hu	no	pt-BR	ro	sk	es-419	sv	tr
HediffDef&KokuUltraBionicArm.label	ultra bionic shoulder-arm		Ultrabionischer Arm		Ultra bioniczne ramię							Ультра бионическая рука	Ультра біонічна рука											Ultra braço biónico					
HediffDef&KokuUltraBionicArm.labelNoun	an ultra bionic arm		Ultrabionischer Arm		Ultra bioniczne ramię							Ультра бионическая рука	Ультра біонічна рука											Ultra braço biónico					
HediffDef&KokuUltraBionicArm.description	An installed ultra bionic arm.		Montierter Ultrabionischer Arm.		Zamontowane ultra bioniczne ramię							Установленная ультра бионическая рука	Встановлене ультра біонічна рука											Ultra braço biónico instalado.					
HediffDef&KokuUltraBionicArm.comps.0.tools.0.label	ultra bionic fist																												
HediffDef&KokuUltraBionicLeg.label	ultra bionic leg		Ultrabionisches Bein		Ultra bioniczna noga							Ультра бионическая нога	Ультра біонічна нога											Ultra perna biónica					
HediffDef&KokuUltraBionicLeg.labelNoun	an ultra bionic leg		Ultrabionisches Bein		Ultra bioniczna noga							Ультра бионическая нога	Ультра біонічна нога											Ultra perna biónica					
HediffDef&KokuUltraBionicLeg.description	An installed ultra bionic leg.		Montiertes ultrabionisches Bein.		Zamontowana ultra bioniczna noga.							Установленная ультра бионическая нога.	Встановлена ультра біонічна нога.											Ultra perna biónica instalada.					
HediffDef&KokuUltraBionicNose.label	ultra bionic nose		Ultrabionische Nase		Ultra bioniczny nos							Ультра бионический нос	Ультра біонічний ніс											Ultra nariz biónico					
HediffDef&KokuUltraBionicNose.labelNoun	an ultra bionic nose		Ultrabionische Nase		Ultra bioniczny nos							Ультра бионический нос	Ультра біонічний ніс											Ultra nariz biónico					
HediffDef&KokuUltraBionicNose.description	An installed ultra bionic nose.		Montierte ultrabionische Nase.		Zamontowany ultra bioniczny nos.							Установленный ультра бионический нос.	Встановлений ультра біонічний ніс.											Ultra nariz biónico instalado.					
HediffDef&KokuUltraBionicEar.label	ultra bionic ear		Ultrabionisches Ohr		Ultra bioniczne ucho							Ультра бионическое ухо	Ультра біонічне вухо											Ultra ouvido biónico					
HediffDef&KokuUltraBionicEar.labelNoun	an ultra bionic ear		Ultrabionisches Ohr		Ultra bioniczne ucho							Ультра бионическое ухо	Ультра біонічне вухо											Ultra ouvido biónico					
HediffDef&KokuUltraBionicEar.description	An installed ultra bionic ear.		Montiertes ultrabionisches Ohr.		Zamontowane ultra bioniczne ucho.							Установленное ультра бионическое ухо.	Встановлене ультра біонічне вухо.											Ultra ouvido biónico instalado.					
HediffDef&KokuUltraBionicEye.label	ultra bionic eye		Ultrabionisches Auge		Ultra bioniczne oko							Ультра бионический глаз	Ультра біонічне око											Ultra olho biónico					
HediffDef&KokuUltraBionicEye.labelNoun	an ultra bionic eye		Ultrabionisches Auge		Ultra bioniczne oko							Ультра бионический глаз	Ультра біонічне око											Ultra olho biónico					
HediffDef&KokuUltraBionicEye.description	An installed ultra bionic eye.		Montiertes ultrabionisches Auge.		Zamontowane ultra bioniczne oko.							Установленный ультра бионический глаз.	Встановлене ультра біонічне око.											Ultra olho biónico instalado.					
HediffDef&KokuUltraBionicJaw.label	ultra bionic jaw		Ultrabionischer Kiefer		Ultra bioniczna szczęka							Ультра бионическая челюсть	Ультра біонічна щелепа											Ultra mandíbula biónica					
HediffDef&KokuUltraBionicJaw.labelNoun	an ultra bionic jaw		Ultrabionischer Kiefer		Ultra bioniczna szczęka							Ультра бионическая челюсть	Ультра біонічна щелепа											Ultra mandíbula biónica					
HediffDef&KokuUltraBionicJaw.description	An installed ultra bionic jaw.		Montierter ultrabionischer Kiefer.		Zamontowana ultra bioniczna szczęka.							Установленная ультра бионическая челюсть.	Встановлена ультра біонічна щелепа.											Ultra mandíbula biónica instalada.					
HediffDef&KokuUltraBionicSpine.label	ultra bionic spine		Ultrabionische Wirbelsäule		Ultra bioniczny kręgosłup							Ультра бионический позвоночник	Ультра біонічний хребет											Ultra Coluna Biónica					
HediffDef&KokuUltraBionicSpine.labelNoun	an ultra bionic spine		Ultrabionische Wirbelsäule		Ultra bioniczny kręgosłup							Ультра бионический позвоночник	Ультра біонічний хребет											Ultra Coluna Biónica					
HediffDef&KokuUltraBionicSpine.description	An installed ultra bionic spine.		Montierte ultrabionische Wirbelsäule.		Zamontowany ultra bioniczny kręgosłup.							Установленный ультра бионический позвоночник.	Встановлений ультра біонічний хребет.											Ultra coluna biónica instalada.					
HediffDef&KokuUltraBionicPelvis.label	ultra bionic pelvis		Ultrabionisches Becken		Ultra bioniczna miednica							Ультра бионический таз	Ультра біонічна таз											Ultra Pelve Biónica					
HediffDef&KokuUltraBionicPelvis.labelNoun	an ultra bionic pelvis		Ultrabionisches Becken		Ultra bioniczna miednica							Ультра бионический таз	Ультра біонічна таз											Ultra Pelve Biónica					
HediffDef&KokuUltraBionicPelvis.description	An installed ultra bionic pelvis.		Montiertes ultrabionisches Becken.		Zamontowana ultra bioniczna miednica.							Установленный ультра бионический таз.	Встановлена ультра біонічна таз.											Ultra pelve biónica instalada.					
HediffDef&KokuUltraBionicNeck.label	ultra bionic neck		Ultrabionischer Hals		Ultra bioniczna szyja							Ультра бионическая шея	Ультра біонічна шия											Ultra Pescoço Biónico					
HediffDef&KokuUltraBionicNeck.labelNoun	an ultra bionic neck		Ultrabionischer Hals		Ultra bioniczna szyja							Ультра бионическая шея	Ультра біонічна шия											Ultra Pescoço Biónico					
HediffDef&KokuUltraBionicNeck.description	An installed ultra bionic neck.		Montierter ultrabionischer Hals.		Zamontowana ultra bioniczna szyja.							Установленная ультра бионическая шея.	Встановлена ультра біонічна шия.											Ultra pescoço biónico instalado.					
HediffDef&KokuUltraMedicalSternum.label	ultra medical sternum		Ultramedizinisches Brustbein		Ultra medyczny mostek							Ультра медицинская грудная клетка	Ультра медичний груди											Ultra Esterno Médico					
HediffDef&KokuUltraMedicalSternum.labelNoun	an ultra medical sernum		Ultramedizinisches Brustbein		Ultra medyczny mostek							Ультра медицинская грудная клетка	Ультра медичний груди											Ultra Esterno Médico					
HediffDef&KokuUltraMedicalSternum.description	An installed ultra medical sternum.		Montiertes ultramedizinisches Brustbein.		Zamontowany ultra medyczny mostek.							Установленная ультра медицинская грудная клетка.	Встановлений ультра медичний груди.											Ultra esterno médico instalado.					
HediffDef&KokuUltraDruggedSternum.label	ultra drugged sternum		Ultrabetäubendes Brustbein		Ultra narkotyzujący mostek							Ультра наркотический стернум	Ultra narkotyzujący mostek											Ultra Esterno Anestésico					
